State,num_emp,sum_salary,Num_Firms,
Alabama,4210727,157985632,280674,
Alaska,711558,37261501,63912,
Arizona,5555773,229045967,387498,
Arkansas,2613740,91414760,192540,
California,34799778,1800964553,2724755,
Colorado,5455477,251248483,487787,
Connecticut,3905944,215561660,273489,
Delaware,957696,46076722,71262,
District of Columbia,1250748,85909434,62465,
Florida,18119956,716634660,1596461,
Georgia,8835192,374540587,648017,
Hawaii,1331700,50555846,94807,
Idaho,1383743,47374891,138036,
Illinois,13493859,651274094,974912,
Indiana,6598294,252509678,416362,
Iowa,3447590,126504640,239867,
Kansas,3067790,118902367,221354,
Kentucky,3896494,142184709,258409,
Louisiana,4480657,181240116,308607,
Maine,1360755,50041986,127138,
Maryland,5773521,275799035,410466,
Massachusetts,7980648,438049761,531184,
Michigan,9316325,394804175,662667,
Minnesota,6538424,292757746,449284,
Mississippi,2386943,79868356,170460,
Missouri,6143001,242169209,435643,
Montana,1023058,34083444,121245,
Nebraska,2171695,81110990,160435,
Nevada,2595560,102149106,179831,
New Hampshire,1489757,64083368,115990,
New Jersey,9274020,486676421,744263,
New Mexico,1641101,59374424,132827,
New York,20440155,1153279316,1750650,
North Carolina,8843717,348603622,642705,
North Dakota,923713,39328489,73997,
Ohio,11927637,482851269,715049,
Oklahoma,3555796,140302763,275826,
Oregon,3790776,153860103,337728,
Pennsylvania,13634172,586900940,881227,
Rhode Island,1108615,46230416,91325,
South Carolina,4101247,145207001,296865,
South Dakota,947730,32082160,82104,
Tennessee,6067732,242438301,366701,
Texas,24440768,1126829025,1555955,
Utah,2831452,111412871,224281,
Vermont,749442,26745944,69655,
Virginia,8156695,384023069,567709,
Washington,6445180,314577097,552775,
West Virginia,1565764,54718894,108472,
Wisconsin,6383945,255471067,414274,
Wyoming,622558,26353219,68118,